"","month","acronym","media_count","media_threat"
"134",2020-08-01,"BEREC OFFICE",0,"no"
"135",2020-09-01,"BEREC OFFICE",0,"no"
"136",2020-10-01,"BEREC OFFICE",0,"no"
"137",2020-11-01,"BEREC OFFICE",0,"no"
"138",2020-12-01,"BEREC OFFICE",0,"no"
"139",2021-01-01,"BEREC OFFICE",0,"no"
"140",2021-02-01,"BEREC OFFICE",0,"no"
"141",2021-03-01,"BEREC OFFICE",0,"no"
"142",2021-04-01,"BEREC OFFICE",0,"no"
"143",2021-05-01,"BEREC OFFICE",0,"no"
"144",2021-06-01,"BEREC OFFICE",0,"no"
"145",2015-07-01,"CEDEFOP",0,"no"
"146",2015-08-01,"CEDEFOP",0,"no"
"147",2015-09-01,"CEDEFOP",0,"no"
"148",2015-10-01,"CEDEFOP",0,"no"
"149",2015-11-01,"CEDEFOP",0,"no"
"150",2015-12-01,"CEDEFOP",0,"no"
"151",2016-01-01,"CEDEFOP",0,"no"
"152",2016-02-01,"CEDEFOP",0,"no"
"153",2016-03-01,"CEDEFOP",0,"no"
"154",2016-04-01,"CEDEFOP",0,"no"
"155",2016-05-01,"CEDEFOP",0,"no"
"156",2016-06-01,"CEDEFOP",0,"no"
"157",2016-07-01,"CEDEFOP",0,"no"
"158",2016-08-01,"CEDEFOP",0,"no"
"159",2016-09-01,"CEDEFOP",0,"no"
"160",2016-10-01,"CEDEFOP",0,"no"
"161",2016-11-01,"CEDEFOP",0,"no"
"162",2016-12-01,"CEDEFOP",1,"yes"
"163",2017-01-01,"CEDEFOP",0,"no"
"164",2017-02-01,"CEDEFOP",0,"no"
"165",2017-03-01,"CEDEFOP",0,"no"
"166",2017-04-01,"CEDEFOP",0,"no"
"167",2017-05-01,"CEDEFOP",0,"no"
"168",2017-06-01,"CEDEFOP",0,"no"
"169",2017-07-01,"CEDEFOP",0,"no"
"170",2017-08-01,"CEDEFOP",0,"no"
"171",2017-09-01,"CEDEFOP",0,"no"
"172",2017-10-01,"CEDEFOP",1,"yes"
"173",2017-11-01,"CEDEFOP",0,"no"
"174",2017-12-01,"CEDEFOP",0,"no"
"175",2018-01-01,"CEDEFOP",0,"no"
"176",2018-02-01,"CEDEFOP",0,"no"
"177",2018-03-01,"CEDEFOP",0,"no"
"178",2018-04-01,"CEDEFOP",0,"no"
"179",2018-05-01,"CEDEFOP",0,"no"
"180",2018-06-01,"CEDEFOP",0,"no"
"181",2018-07-01,"CEDEFOP",0,"no"
"182",2018-08-01,"CEDEFOP",0,"no"
"183",2018-09-01,"CEDEFOP",0,"no"
"184",2018-10-01,"CEDEFOP",0,"no"
"185",2018-11-01,"CEDEFOP",0,"no"
"186",2018-12-01,"CEDEFOP",0,"no"
"187",2019-01-01,"CEDEFOP",0,"no"
"188",2019-02-01,"CEDEFOP",0,"no"
"189",2019-03-01,"CEDEFOP",0,"no"
"190",2019-04-01,"CEDEFOP",1,"yes"
"191",2019-05-01,"CEDEFOP",0,"no"
"192",2019-06-01,"CEDEFOP",0,"no"
"193",2019-07-01,"CEDEFOP",1,"yes"
"194",2019-08-01,"CEDEFOP",0,"no"
"195",2019-09-01,"CEDEFOP",0,"no"
"196",2019-10-01,"CEDEFOP",0,"no"
"197",2019-11-01,"CEDEFOP",0,"no"
"198",2019-12-01,"CEDEFOP",1,"no"
"199",2020-01-01,"CEDEFOP",0,"no"
"200",2020-02-01,"CEDEFOP",1,"yes"
"201",2020-03-01,"CEDEFOP",0,"no"
"202",2020-04-01,"CEDEFOP",0,"no"
"203",2020-05-01,"CEDEFOP",0,"no"
"204",2020-06-01,"CEDEFOP",2,"yes"
"205",2020-07-01,"CEDEFOP",1,"no"
"206",2020-08-01,"CEDEFOP",0,"no"
"207",2020-09-01,"CEDEFOP",0,"no"
"208",2020-10-01,"CEDEFOP",0,"no"
"209",2020-11-01,"CEDEFOP",0,"no"
"210",2020-12-01,"CEDEFOP",0,"no"
"211",2021-01-01,"CEDEFOP",0,"no"
"212",2021-02-01,"CEDEFOP",0,"no"
"213",2021-03-01,"CEDEFOP",0,"no"
"214",2021-04-01,"CEDEFOP",0,"no"
"215",2021-05-01,"CEDEFOP",0,"no"
"216",2021-06-01,"CEDEFOP",0,"no"
"217",2015-07-01,"CPVO",0,"no"
"218",2015-08-01,"CPVO",0,"no"
"219",2015-09-01,"CPVO",0,"no"
"220",2015-10-01,"CPVO",0,"no"
"221",2015-11-01,"CPVO",0,"no"
"222",2015-12-01,"CPVO",0,"no"
"223",2016-01-01,"CPVO",0,"no"
"224",2016-02-01,"CPVO",0,"no"
"225",2016-03-01,"CPVO",0,"no"
"226",2016-04-01,"CPVO",0,"no"
"227",2016-05-01,"CPVO",0,"no"
"228",2016-06-01,"CPVO",0,"no"
"229",2016-07-01,"CPVO",0,"no"
"230",2016-08-01,"CPVO",0,"no"
"231",2016-09-01,"CPVO",0,"no"
"232",2016-10-01,"CPVO",0,"no"
"233",2016-11-01,"CPVO",0,"no"
"234",2016-12-01,"CPVO",0,"no"
"235",2017-01-01,"CPVO",0,"no"
"236",2017-02-01,"CPVO",0,"no"
"237",2017-03-01,"CPVO",0,"no"
"238",2017-04-01,"CPVO",0,"no"
"239",2017-05-01,"CPVO",0,"no"
"240",2017-06-01,"CPVO",0,"no"
"241",2017-07-01,"CPVO",1,"yes"
"242",2017-08-01,"CPVO",0,"no"
"243",2017-09-01,"CPVO",0,"no"
"244",2017-10-01,"CPVO",1,"yes"
"245",2017-11-01,"CPVO",0,"no"
"246",2017-12-01,"CPVO",0,"no"
"247",2018-01-01,"CPVO",0,"no"
"248",2018-02-01,"CPVO",0,"no"
"249",2018-03-01,"CPVO",0,"no"
"250",2018-04-01,"CPVO",0,"no"
"251",2018-05-01,"CPVO",0,"no"
"252",2018-06-01,"CPVO",0,"no"
"253",2018-07-01,"CPVO",0,"no"
"254",2018-08-01,"CPVO",0,"no"
"255",2018-09-01,"CPVO",0,"no"
"256",2018-10-01,"CPVO",0,"no"
"257",2018-11-01,"CPVO",0,"no"
"258",2018-12-01,"CPVO",0,"no"
"259",2019-01-01,"CPVO",0,"no"
"260",2019-02-01,"CPVO",0,"no"
"261",2019-03-01,"CPVO",0,"no"
"262",2019-04-01,"CPVO",0,"no"
"263",2019-05-01,"CPVO",0,"no"
"264",2019-06-01,"CPVO",1,"yes"
"265",2019-07-01,"CPVO",1,"no"
"266",2019-08-01,"CPVO",0,"no"
"267",2019-09-01,"CPVO",0,"no"
"268",2019-10-01,"CPVO",0,"no"
"269",2019-11-01,"CPVO",0,"no"
"270",2019-12-01,"CPVO",0,"no"
"271",2020-01-01,"CPVO",0,"no"
"272",2020-02-01,"CPVO",0,"no"
"273",2020-03-01,"CPVO",0,"no"
"274",2020-04-01,"CPVO",0,"no"
"275",2020-05-01,"CPVO",0,"no"
"276",2020-06-01,"CPVO",0,"no"
"277",2020-07-01,"CPVO",0,"no"
"278",2020-08-01,"CPVO",0,"no"
"279",2020-09-01,"CPVO",0,"no"
"280",2020-10-01,"CPVO",0,"no"
"281",2020-11-01,"CPVO",0,"no"
"282",2020-12-01,"CPVO",0,"no"
"283",2021-01-01,"CPVO",1,"yes"
"284",2021-02-01,"CPVO",0,"no"
"285",2021-03-01,"CPVO",1,"yes"
"286",2021-04-01,"CPVO",0,"no"
"287",2021-05-01,"CPVO",0,"no"
"288",2021-06-01,"CPVO",0,"no"
"289",2015-07-01,"EASA",3,"no"
"290",2015-08-01,"EASA",1,"no"
"291",2015-09-01,"EASA",4,"no"
"292",2015-10-01,"EASA",10,"no"
"293",2015-11-01,"EASA",0,"no"
"294",2015-12-01,"EASA",1,"no"
"295",2016-01-01,"EASA",2,"no"
"296",2016-02-01,"EASA",2,"no"
"297",2016-03-01,"EASA",5,"no"
"298",2016-04-01,"EASA",5,"no"
"299",2016-05-01,"EASA",1,"no"
"300",2016-06-01,"EASA",4,"no"
"301",2016-07-01,"EASA",3,"no"
"302",2016-08-01,"EASA",0,"no"
"303",2016-09-01,"EASA",3,"no"
"304",2016-10-01,"EASA",3,"no"
"305",2016-11-01,"EASA",1,"no"
"306",2016-12-01,"EASA",2,"no"
"307",2017-01-01,"EASA",2,"no"
"308",2017-02-01,"EASA",0,"no"
"309",2017-03-01,"EASA",8,"no"
"310",2017-04-01,"EASA",3,"no"
"311",2017-05-01,"EASA",4,"no"
"312",2017-06-01,"EASA",6,"no"
"313",2017-07-01,"EASA",4,"no"
"314",2017-08-01,"EASA",6,"no"
"315",2017-09-01,"EASA",0,"no"
"316",2017-10-01,"EASA",4,"no"
"317",2017-11-01,"EASA",4,"no"
"318",2017-12-01,"EASA",8,"no"
"319",2018-01-01,"EASA",5,"no"
"320",2018-02-01,"EASA",7,"no"
"321",2018-03-01,"EASA",9,"no"
"322",2018-04-01,"EASA",8,"no"
"323",2018-05-01,"EASA",4,"no"
"324",2018-06-01,"EASA",9,"no"
"325",2018-07-01,"EASA",11,"no"
"326",2018-08-01,"EASA",5,"no"
"327",2018-09-01,"EASA",4,"no"
"328",2018-10-01,"EASA",4,"no"
"329",2018-11-01,"EASA",16,"yes"
"330",2018-12-01,"EASA",8,"no"
"331",2019-01-01,"EASA",3,"no"
"332",2019-02-01,"EASA",5,"no"
"333",2019-03-01,"EASA",33,"yes"
