"","agencyname","day","hearing"
"145","BEREC OFFICE",2015-11-22,0
"146","BEREC OFFICE",2015-11-23,0
"147","BEREC OFFICE",2015-11-24,0
"148","BEREC OFFICE",2015-11-25,0
"149","BEREC OFFICE",2015-11-26,0
"150","BEREC OFFICE",2015-11-27,0
"151","BEREC OFFICE",2015-11-28,0
"152","BEREC OFFICE",2015-11-29,0
"153","BEREC OFFICE",2015-11-30,0
"154","BEREC OFFICE",2015-12-01,0
"155","BEREC OFFICE",2015-12-02,0
"156","BEREC OFFICE",2015-12-03,0
"157","BEREC OFFICE",2015-12-04,0
"158","BEREC OFFICE",2015-12-05,0
"159","BEREC OFFICE",2015-12-06,0
"160","BEREC OFFICE",2015-12-07,0
"161","BEREC OFFICE",2015-12-08,0
"162","BEREC OFFICE",2015-12-09,0
"163","BEREC OFFICE",2015-12-10,0
"164","BEREC OFFICE",2015-12-11,0
"165","BEREC OFFICE",2015-12-12,0
"166","BEREC OFFICE",2015-12-13,0
"167","BEREC OFFICE",2015-12-14,0
"168","BEREC OFFICE",2015-12-15,0
"169","BEREC OFFICE",2015-12-16,0
"170","BEREC OFFICE",2015-12-17,0
"171","BEREC OFFICE",2015-12-18,0
"172","BEREC OFFICE",2015-12-19,0
"173","BEREC OFFICE",2015-12-20,0
"174","BEREC OFFICE",2015-12-21,0
"175","BEREC OFFICE",2015-12-22,0
"176","BEREC OFFICE",2015-12-23,0
"177","BEREC OFFICE",2015-12-24,0
"178","BEREC OFFICE",2015-12-25,0
"179","BEREC OFFICE",2015-12-26,0
"180","BEREC OFFICE",2015-12-27,0
"181","BEREC OFFICE",2015-12-28,0
"182","BEREC OFFICE",2015-12-29,0
"183","BEREC OFFICE",2015-12-30,0
"184","BEREC OFFICE",2015-12-31,0
"185","BEREC OFFICE",2016-01-01,0
"186","BEREC OFFICE",2016-01-02,0
"187","BEREC OFFICE",2016-01-03,0
"188","BEREC OFFICE",2016-01-04,0
"189","BEREC OFFICE",2016-01-05,0
"190","BEREC OFFICE",2016-01-06,0
"191","BEREC OFFICE",2016-01-07,0
"192","BEREC OFFICE",2016-01-08,0
"193","BEREC OFFICE",2016-01-09,0
"194","BEREC OFFICE",2016-01-10,0
"195","BEREC OFFICE",2016-01-11,0
"196","BEREC OFFICE",2016-01-12,0
"197","BEREC OFFICE",2016-01-13,0
"198","BEREC OFFICE",2016-01-14,0
"199","BEREC OFFICE",2016-01-15,0
"200","BEREC OFFICE",2016-01-16,0
"201","BEREC OFFICE",2016-01-17,0
"202","BEREC OFFICE",2016-01-18,0
"203","BEREC OFFICE",2016-01-19,0
"204","BEREC OFFICE",2016-01-20,0
"205","BEREC OFFICE",2016-01-21,0
"206","BEREC OFFICE",2016-01-22,0
"207","BEREC OFFICE",2016-01-23,0
"208","BEREC OFFICE",2016-01-24,0
"209","BEREC OFFICE",2016-01-25,0
"210","BEREC OFFICE",2016-01-26,0
"211","BEREC OFFICE",2016-01-27,0
"212","BEREC OFFICE",2016-01-28,1
"213","BEREC OFFICE",2016-01-29,0
"214","BEREC OFFICE",2016-01-30,0
"215","BEREC OFFICE",2016-01-31,0
"216","BEREC OFFICE",2016-02-01,0
"217","BEREC OFFICE",2016-02-02,0
"218","BEREC OFFICE",2016-02-03,0
"219","BEREC OFFICE",2016-02-04,0
"220","BEREC OFFICE",2016-02-05,0
"221","BEREC OFFICE",2016-02-06,0
"222","BEREC OFFICE",2016-02-07,0
"223","BEREC OFFICE",2016-02-08,0
"224","BEREC OFFICE",2016-02-09,0
"225","BEREC OFFICE",2016-02-10,0
"226","BEREC OFFICE",2016-02-11,0
"227","BEREC OFFICE",2016-02-12,0
"228","BEREC OFFICE",2016-02-13,0
"229","BEREC OFFICE",2016-02-14,0
"230","BEREC OFFICE",2016-02-15,0
"231","BEREC OFFICE",2016-02-16,0
"232","BEREC OFFICE",2016-02-17,0
"233","BEREC OFFICE",2016-02-18,0
"234","BEREC OFFICE",2016-02-19,0
"235","BEREC OFFICE",2016-02-20,0
"236","BEREC OFFICE",2016-02-21,0
"237","BEREC OFFICE",2016-02-22,0
"238","BEREC OFFICE",2016-02-23,0
"239","BEREC OFFICE",2016-02-24,0
"240","BEREC OFFICE",2016-02-25,0
"241","BEREC OFFICE",2016-02-26,0
"242","BEREC OFFICE",2016-02-27,0
"243","BEREC OFFICE",2016-02-28,0
"244","BEREC OFFICE",2016-02-29,0
"245","BEREC OFFICE",2016-03-01,0
"246","BEREC OFFICE",2016-03-02,0
"247","BEREC OFFICE",2016-03-03,0
"248","BEREC OFFICE",2016-03-04,0
"249","BEREC OFFICE",2016-03-05,0
"250","BEREC OFFICE",2016-03-06,0
"251","BEREC OFFICE",2016-03-07,0
"252","BEREC OFFICE",2016-03-08,0
"253","BEREC OFFICE",2016-03-09,0
"254","BEREC OFFICE",2016-03-10,0
"255","BEREC OFFICE",2016-03-11,0
"256","BEREC OFFICE",2016-03-12,0
"257","BEREC OFFICE",2016-03-13,0
"258","BEREC OFFICE",2016-03-14,0
"259","BEREC OFFICE",2016-03-15,0
"260","BEREC OFFICE",2016-03-16,0
"261","BEREC OFFICE",2016-03-17,0
"262","BEREC OFFICE",2016-03-18,0
"263","BEREC OFFICE",2016-03-19,0
"264","BEREC OFFICE",2016-03-20,0
"265","BEREC OFFICE",2016-03-21,0
"266","BEREC OFFICE",2016-03-22,0
"267","BEREC OFFICE",2016-03-23,0
"268","BEREC OFFICE",2016-03-24,0
"269","BEREC OFFICE",2016-03-25,0
"270","BEREC OFFICE",2016-03-26,0
"271","BEREC OFFICE",2016-03-27,0
"272","BEREC OFFICE",2016-03-28,0
"273","BEREC OFFICE",2016-03-29,0
"274","BEREC OFFICE",2016-03-30,0
"275","BEREC OFFICE",2016-03-31,0
"276","BEREC OFFICE",2016-04-01,0
"277","BEREC OFFICE",2016-04-02,0
"278","BEREC OFFICE",2016-04-03,0
"279","BEREC OFFICE",2016-04-04,0
"280","BEREC OFFICE",2016-04-05,0
"281","BEREC OFFICE",2016-04-06,0
"282","BEREC OFFICE",2016-04-07,0
"283","BEREC OFFICE",2016-04-08,0
"284","BEREC OFFICE",2016-04-09,0
"285","BEREC OFFICE",2016-04-10,0
"286","BEREC OFFICE",2016-04-11,0
"287","BEREC OFFICE",2016-04-12,0
"288","BEREC OFFICE",2016-04-13,0
"289","BEREC OFFICE",2016-04-14,0
"290","BEREC OFFICE",2016-04-15,0
"291","BEREC OFFICE",2016-04-16,0
"292","BEREC OFFICE",2016-04-17,0
"293","BEREC OFFICE",2016-04-18,0
"294","BEREC OFFICE",2016-04-19,0
"295","BEREC OFFICE",2016-04-20,0
"296","BEREC OFFICE",2016-04-21,0
"297","BEREC OFFICE",2016-04-22,0
"298","BEREC OFFICE",2016-04-23,0
"299","BEREC OFFICE",2016-04-24,0
"300","BEREC OFFICE",2016-04-25,0
"301","BEREC OFFICE",2016-04-26,0
"302","BEREC OFFICE",2016-04-27,0
"303","BEREC OFFICE",2016-04-28,0
"304","BEREC OFFICE",2016-04-29,0
"305","BEREC OFFICE",2016-04-30,0
"306","BEREC OFFICE",2016-05-01,0
"307","BEREC OFFICE",2016-05-02,0
"308","BEREC OFFICE",2016-05-03,0
"309","BEREC OFFICE",2016-05-04,0
"310","BEREC OFFICE",2016-05-05,0
"311","BEREC OFFICE",2016-05-06,0
"312","BEREC OFFICE",2016-05-07,0
"313","BEREC OFFICE",2016-05-08,0
"314","BEREC OFFICE",2016-05-09,0
"315","BEREC OFFICE",2016-05-10,0
"316","BEREC OFFICE",2016-05-11,0
"317","BEREC OFFICE",2016-05-12,0
"318","BEREC OFFICE",2016-05-13,0
"319","BEREC OFFICE",2016-05-14,0
"320","BEREC OFFICE",2016-05-15,0
"321","BEREC OFFICE",2016-05-16,0
