"","agencyname","month","hearing"
"171","EBA",2018-03-01,0
"172","EBA",2018-04-01,2
"173","EBA",2018-05-01,0
"174","EBA",2018-06-01,0
"175","EBA",2018-07-01,0
"176","EBA",2018-08-01,0
"177","EBA",2018-09-01,0
"178","EBA",2018-10-01,1
"179","EBA",2018-11-01,0
"180","EBA",2018-12-01,0
"181","EBA",2019-01-01,0
"182","EBA",2019-02-01,0
"183","EBA",2019-03-01,0
"184","EBA",2019-04-01,0
"185","ECDC",2015-07-01,0
"186","ECDC",2015-08-01,0
"187","ECDC",2015-09-01,1
"188","ECDC",2015-10-01,0
"189","ECDC",2015-11-01,0
"190","ECDC",2015-12-01,0
"191","ECDC",2016-01-01,0
"192","ECDC",2016-02-01,1
"193","ECDC",2016-03-01,0
"194","ECDC",2016-04-01,0
"195","ECDC",2016-05-01,0
"196","ECDC",2016-06-01,0
"197","ECDC",2016-07-01,0
"198","ECDC",2016-08-01,0
"199","ECDC",2016-09-01,0
"200","ECDC",2016-10-01,0
"201","ECDC",2016-11-01,0
"202","ECDC",2016-12-01,0
"203","ECDC",2017-01-01,0
"204","ECDC",2017-02-01,0
"205","ECDC",2017-03-01,0
"206","ECDC",2017-04-01,1
"207","ECDC",2017-05-01,0
"208","ECDC",2017-06-01,0
"209","ECDC",2017-07-01,0
"210","ECDC",2017-08-01,0
"211","ECDC",2017-09-01,0
"212","ECDC",2017-10-01,0
"213","ECDC",2017-11-01,0
"214","ECDC",2017-12-01,0
"215","ECDC",2018-01-01,0
"216","ECDC",2018-02-01,1
"217","ECDC",2018-03-01,0
"218","ECDC",2018-04-01,0
"219","ECDC",2018-05-01,0
"220","ECDC",2018-06-01,0
"221","ECDC",2018-07-01,0
"222","ECDC",2018-08-01,0
"223","ECDC",2018-09-01,0
"224","ECDC",2018-10-01,0
"225","ECDC",2018-11-01,0
"226","ECDC",2018-12-01,0
"227","ECDC",2019-01-01,0
"228","ECDC",2019-02-01,0
"229","ECDC",2019-03-01,0
"230","ECDC",2019-04-01,0
"231","ECHA",2015-07-01,0
"232","ECHA",2015-08-01,0
"233","ECHA",2015-09-01,0
"234","ECHA",2015-10-01,0
"235","ECHA",2015-11-01,0
"236","ECHA",2015-12-01,0
"237","ECHA",2016-01-01,0
"238","ECHA",2016-02-01,0
"239","ECHA",2016-03-01,0
"240","ECHA",2016-04-01,0
"241","ECHA",2016-05-01,0
"242","ECHA",2016-06-01,0
"243","ECHA",2016-07-01,0
"244","ECHA",2016-08-01,0
"245","ECHA",2016-09-01,0
"246","ECHA",2016-10-01,0
"247","ECHA",2016-11-01,0
"248","ECHA",2016-12-01,0
"249","ECHA",2017-01-01,0
"250","ECHA",2017-02-01,0
"251","ECHA",2017-03-01,0
"252","ECHA",2017-04-01,0
"253","ECHA",2017-05-01,0
"254","ECHA",2017-06-01,0
"255","ECHA",2017-07-01,0
"256","ECHA",2017-08-01,0
"257","ECHA",2017-09-01,0
"258","ECHA",2017-10-01,1
"259","ECHA",2017-11-01,0
"260","ECHA",2017-12-01,0
"261","ECHA",2018-01-01,0
"262","ECHA",2018-02-01,0
"263","ECHA",2018-03-01,0
"264","ECHA",2018-04-01,0
"265","ECHA",2018-05-01,0
"266","ECHA",2018-06-01,0
"267","ECHA",2018-07-01,0
"268","ECHA",2018-08-01,0
"269","ECHA",2018-09-01,0
"270","ECHA",2018-10-01,0
"271","ECHA",2018-11-01,0
"272","ECHA",2018-12-01,0
"273","ECHA",2019-01-01,0
"274","ECHA",2019-02-01,0
"275","ECHA",2019-03-01,0
"276","ECHA",2019-04-01,0
"277","EEA",2015-07-01,0
"278","EEA",2015-08-01,0
"279","EEA",2015-09-01,0
"280","EEA",2015-10-01,0
"281","EEA",2015-11-01,1
"282","EEA",2015-12-01,0
"283","EEA",2016-01-01,0
"284","EEA",2016-02-01,0
"285","EEA",2016-03-01,0
"286","EEA",2016-04-01,0
"287","EEA",2016-05-01,0
"288","EEA",2016-06-01,0
"289","EEA",2016-07-01,0
"290","EEA",2016-08-01,0
"291","EEA",2016-09-01,0
"292","EEA",2016-10-01,0
"293","EEA",2016-11-01,0
"294","EEA",2016-12-01,0
"295","EEA",2017-01-01,0
"296","EEA",2017-02-01,0
"297","EEA",2017-03-01,1
"298","EEA",2017-04-01,0
"299","EEA",2017-05-01,0
"300","EEA",2017-06-01,0
"301","EEA",2017-07-01,0
"302","EEA",2017-08-01,0
"303","EEA",2017-09-01,0
"304","EEA",2017-10-01,0
"305","EEA",2017-11-01,0
"306","EEA",2017-12-01,0
"307","EEA",2018-01-01,0
"308","EEA",2018-02-01,0
"309","EEA",2018-03-01,0
"310","EEA",2018-04-01,0
"311","EEA",2018-05-01,0
"312","EEA",2018-06-01,0
"313","EEA",2018-07-01,0
"314","EEA",2018-08-01,0
"315","EEA",2018-09-01,0
"316","EEA",2018-10-01,0
"317","EEA",2018-11-01,0
"318","EEA",2018-12-01,0
"319","EEA",2019-01-01,0
"320","EEA",2019-02-01,0
"321","EEA",2019-03-01,0
"322","EEA",2019-04-01,0
"323","EFCA",2015-07-01,0
"324","EFCA",2015-08-01,0
"325","EFCA",2015-09-01,0
"326","EFCA",2015-10-01,0
"327","EFCA",2015-11-01,0
"328","EFCA",2015-12-01,0
"329","EFCA",2016-01-01,0
"330","EFCA",2016-02-01,1
"331","EFCA",2016-03-01,0
"332","EFCA",2016-04-01,0
"333","EFCA",2016-05-01,0
"334","EFCA",2016-06-01,0
"335","EFCA",2016-07-01,0
"336","EFCA",2016-08-01,0
"337","EFCA",2016-09-01,0
"338","EFCA",2016-10-01,0
"339","EFCA",2016-11-01,0
"340","EFCA",2016-12-01,0
"341","EFCA",2017-01-01,0
"342","EFCA",2017-02-01,0
"343","EFCA",2017-03-01,0
"344","EFCA",2017-04-01,0
"345","EFCA",2017-05-01,0
"346","EFCA",2017-06-01,0
"347","EFCA",2017-07-01,0
"348","EFCA",2017-08-01,0
"349","EFCA",2017-09-01,0
"350","EFCA",2017-10-01,0
"351","EFCA",2017-11-01,0
"352","EFCA",2017-12-01,0
"353","EFCA",2018-01-01,0
"354","EFCA",2018-02-01,0
"355","EFCA",2018-03-01,0
"356","EFCA",2018-04-01,0
"357","EFCA",2018-05-01,0
"358","EFCA",2018-06-01,0
"359","EFCA",2018-07-01,0
"360","EFCA",2018-08-01,0
"361","EFCA",2018-09-01,0
"362","EFCA",2018-10-01,0
"363","EFCA",2018-11-01,0
"364","EFCA",2018-12-01,0
"365","EFCA",2019-01-01,0
"366","EFCA",2019-02-01,0
"367","EFCA",2019-03-01,0
"368","EFCA",2019-04-01,0
"369","EFSA",2015-07-01,0
"370","EFSA",2015-08-01,0
"371","EFSA",2015-09-01,1
"372","EFSA",2015-10-01,0
"373","EFSA",2015-11-01,0
"374","EFSA",2015-12-01,1
"375","EFSA",2016-01-01,0
"376","EFSA",2016-02-01,0
"377","EFSA",2016-03-01,0
"378","EFSA",2016-04-01,0
"379","EFSA",2016-05-01,0
"380","EFSA",2016-06-01,0
"381","EFSA",2016-07-01,0
"382","EFSA",2016-08-01,0
"383","EFSA",2016-09-01,0
"384","EFSA",2016-10-01,0
"385","EFSA",2016-11-01,0
"386","EFSA",2016-12-01,0
"387","EFSA",2017-01-01,1
"388","EFSA",2017-02-01,0
"389","EFSA",2017-03-01,0
"390","EFSA",2017-04-01,0
"391","EFSA",2017-05-01,1
"392","EFSA",2017-06-01,0
"393","EFSA",2017-07-01,0
"394","EFSA",2017-08-01,0
"395","EFSA",2017-09-01,0
"396","EFSA",2017-10-01,2
"397","EFSA",2017-11-01,0
"398","EFSA",2017-12-01,0
"399","EFSA",2018-01-01,0
"400","EFSA",2018-02-01,0
"401","EFSA",2018-03-01,0
"402","EFSA",2018-04-01,0
"403","EFSA",2018-05-01,0
"404","EFSA",2018-06-01,0
"405","EFSA",2018-07-01,0
"406","EFSA",2018-08-01,0
"407","EFSA",2018-09-01,0
"408","EFSA",2018-10-01,0
"409","EFSA",2018-11-01,0
"410","EFSA",2018-12-01,0
"411","EFSA",2019-01-01,0
"412","EFSA",2019-02-01,0
"413","EFSA",2019-03-01,0
"414","EFSA",2019-04-01,0
"415","EIGE",2015-07-01,0
"416","EIGE",2015-08-01,0
"417","EIGE",2015-09-01,1
"418","EIGE",2015-10-01,1
"419","EIGE",2015-11-01,0
"420","EIGE",2015-12-01,0
"421","EIGE",2016-01-01,0
