"","agencyname","month","hearing"
"795","EUIPO",2016-07-01,0
"796","EUIPO",2016-08-01,0
"797","EUIPO",2016-09-01,0
"798","EUIPO",2016-10-01,0
"799","EUIPO",2016-11-01,0
"800","EUIPO",2016-12-01,0
"801","EUIPO",2017-01-01,0
"802","EUIPO",2017-02-01,0
"803","EUIPO",2017-03-01,1
"804","EUIPO",2017-04-01,0
"805","EUIPO",2017-05-01,0
"806","EUIPO",2017-06-01,0
"807","EUIPO",2017-07-01,0
"808","EUIPO",2017-08-01,0
"809","EUIPO",2017-09-01,0
"810","EUIPO",2017-10-01,0
"811","EUIPO",2017-11-01,0
"812","EUIPO",2017-12-01,0
"813","EUIPO",2018-01-01,0
"814","EUIPO",2018-02-01,0
"815","EUIPO",2018-03-01,0
"816","EUIPO",2018-04-01,0
"817","EUIPO",2018-05-01,0
"818","EUIPO",2018-06-01,0
"819","EUIPO",2018-07-01,0
"820","EUIPO",2018-08-01,0
"821","EUIPO",2018-09-01,0
"822","EUIPO",2018-10-01,0
"823","EUIPO",2018-11-01,0
"824","EUIPO",2018-12-01,0
"825","EUIPO",2019-01-01,0
"826","EUIPO",2019-02-01,0
"827","EUIPO",2019-03-01,0
"828","EUIPO",2019-04-01,0
"829","EUROFOUND",2015-07-01,0
"830","EUROFOUND",2015-08-01,0
"831","EUROFOUND",2015-09-01,1
"832","EUROFOUND",2015-10-01,0
"833","EUROFOUND",2015-11-01,1
"834","EUROFOUND",2015-12-01,1
"835","EUROFOUND",2016-01-01,0
"836","EUROFOUND",2016-02-01,1
"837","EUROFOUND",2016-03-01,2
"838","EUROFOUND",2016-04-01,1
"839","EUROFOUND",2016-05-01,0
"840","EUROFOUND",2016-06-01,0
"841","EUROFOUND",2016-07-01,0
"842","EUROFOUND",2016-08-01,0
"843","EUROFOUND",2016-09-01,1
"844","EUROFOUND",2016-10-01,0
"845","EUROFOUND",2016-11-01,0
"846","EUROFOUND",2016-12-01,0
"847","EUROFOUND",2017-01-01,0
"848","EUROFOUND",2017-02-01,1
"849","EUROFOUND",2017-03-01,0
"850","EUROFOUND",2017-04-01,0
"851","EUROFOUND",2017-05-01,0
"852","EUROFOUND",2017-06-01,0
"853","EUROFOUND",2017-07-01,0
"854","EUROFOUND",2017-08-01,0
"855","EUROFOUND",2017-09-01,0
"856","EUROFOUND",2017-10-01,0
"857","EUROFOUND",2017-11-01,1
"858","EUROFOUND",2017-12-01,0
"859","EUROFOUND",2018-01-01,0
"860","EUROFOUND",2018-02-01,0
"861","EUROFOUND",2018-03-01,0
"862","EUROFOUND",2018-04-01,0
"863","EUROFOUND",2018-05-01,0
"864","EUROFOUND",2018-06-01,0
"865","EUROFOUND",2018-07-01,0
"866","EUROFOUND",2018-08-01,0
"867","EUROFOUND",2018-09-01,0
"868","EUROFOUND",2018-10-01,0
"869","EUROFOUND",2018-11-01,0
"870","EUROFOUND",2018-12-01,0
"871","EUROFOUND",2019-01-01,0
"872","EUROFOUND",2019-02-01,0
"873","EUROFOUND",2019-03-01,0
"874","EUROFOUND",2019-04-01,0
"875","FRA",2015-07-01,1
"876","FRA",2015-08-01,0
"877","FRA",2015-09-01,1
"878","FRA",2015-10-01,0
"879","FRA",2015-11-01,0
"880","FRA",2015-12-01,2
"881","FRA",2016-01-01,1
"882","FRA",2016-02-01,1
"883","FRA",2016-03-01,1
"884","FRA",2016-04-01,0
"885","FRA",2016-05-01,0
"886","FRA",2016-06-01,0
"887","FRA",2016-07-01,0
"888","FRA",2016-08-01,0
"889","FRA",2016-09-01,0
"890","FRA",2016-10-01,1
"891","FRA",2016-11-01,1
"892","FRA",2016-12-01,1
"893","FRA",2017-01-01,1
"894","FRA",2017-02-01,0
"895","FRA",2017-03-01,0
"896","FRA",2017-04-01,0
"897","FRA",2017-05-01,1
"898","FRA",2017-06-01,0
"899","FRA",2017-07-01,0
"900","FRA",2017-08-01,0
"901","FRA",2017-09-01,0
"902","FRA",2017-10-01,0
"903","FRA",2017-11-01,0
"904","FRA",2017-12-01,0
"905","FRA",2018-01-01,1
"906","FRA",2018-02-01,0
"907","FRA",2018-03-01,0
"908","FRA",2018-04-01,1
"909","FRA",2018-05-01,0
"910","FRA",2018-06-01,0
"911","FRA",2018-07-01,0
"912","FRA",2018-08-01,0
"913","FRA",2018-09-01,1
"914","FRA",2018-10-01,1
"915","FRA",2018-11-01,3
"916","FRA",2018-12-01,0
"917","FRA",2019-01-01,0
"918","FRA",2019-02-01,1
"919","FRA",2019-03-01,0
"920","FRA",2019-04-01,0
"921","FRONTEX",2015-07-01,1
"922","FRONTEX",2015-08-01,0
"923","FRONTEX",2015-09-01,1
"924","FRONTEX",2015-10-01,0
"925","FRONTEX",2015-11-01,1
"926","FRONTEX",2015-12-01,3
"927","FRONTEX",2016-01-01,1
"928","FRONTEX",2016-02-01,0
"929","FRONTEX",2016-03-01,0
"930","FRONTEX",2016-04-01,1
"931","FRONTEX",2016-05-01,0
"932","FRONTEX",2016-06-01,0
"933","FRONTEX",2016-07-01,0
"934","FRONTEX",2016-08-01,0
"935","FRONTEX",2016-09-01,0
"936","FRONTEX",2016-10-01,0
"937","FRONTEX",2016-11-01,0
"938","FRONTEX",2016-12-01,0
"939","FRONTEX",2017-01-01,0
"940","FRONTEX",2017-02-01,0
"941","FRONTEX",2017-03-01,0
"942","FRONTEX",2017-04-01,0
"943","FRONTEX",2017-05-01,1
"944","FRONTEX",2017-06-01,0
"945","FRONTEX",2017-07-01,1
"946","FRONTEX",2017-08-01,0
"947","FRONTEX",2017-09-01,0
"948","FRONTEX",2017-10-01,0
"949","FRONTEX",2017-11-01,1
"950","FRONTEX",2017-12-01,0
"951","FRONTEX",2018-01-01,0
"952","FRONTEX",2018-02-01,2
"953","FRONTEX",2018-03-01,1
"954","FRONTEX",2018-04-01,0
"955","FRONTEX",2018-05-01,0
"956","FRONTEX",2018-06-01,0
"957","FRONTEX",2018-07-01,0
"958","FRONTEX",2018-08-01,0
"959","FRONTEX",2018-09-01,1
"960","FRONTEX",2018-10-01,0
"961","FRONTEX",2018-11-01,1
"962","FRONTEX",2018-12-01,1
"963","FRONTEX",2019-01-01,0
"964","FRONTEX",2019-02-01,0
"965","FRONTEX",2019-03-01,0
"966","FRONTEX",2019-04-01,4
"967","SRB",2015-07-01,0
"968","SRB",2015-08-01,0
"969","SRB",2015-09-01,0
"970","SRB",2015-10-01,0
"971","SRB",2015-11-01,0
"972","SRB",2015-12-01,0
"973","SRB",2016-01-01,0
"974","SRB",2016-02-01,0
"975","SRB",2016-03-01,0
"976","SRB",2016-04-01,0
"977","SRB",2016-05-01,1
"978","SRB",2016-06-01,0
"979","SRB",2016-07-01,0
"980","SRB",2016-08-01,0
"981","SRB",2016-09-01,0
"982","SRB",2016-10-01,0
"983","SRB",2016-11-01,0
"984","SRB",2016-12-01,0
"985","SRB",2017-01-01,0
"986","SRB",2017-02-01,0
"987","SRB",2017-03-01,1
"988","SRB",2017-04-01,1
"989","SRB",2017-05-01,0
"990","SRB",2017-06-01,0
"991","SRB",2017-07-01,0
"992","SRB",2017-08-01,0
"993","SRB",2017-09-01,0
"994","SRB",2017-10-01,0
"995","SRB",2017-11-01,0
"996","SRB",2017-12-01,0
"997","SRB",2018-01-01,0
"998","SRB",2018-02-01,0
"999","SRB",2018-03-01,0
"1000","SRB",2018-04-01,0
"1001","SRB",2018-05-01,0
"1002","SRB",2018-06-01,0
"1003","SRB",2018-07-01,0
"1004","SRB",2018-08-01,0
"1005","SRB",2018-09-01,0
"1006","SRB",2018-10-01,0
"1007","SRB",2018-11-01,0
"1008","SRB",2018-12-01,0
"1009","SRB",2019-01-01,0
"1010","SRB",2019-02-01,0
"1011","SRB",2019-03-01,0
"1012","SRB",2019-04-01,0
