"","agencyname","month","information","joined","no.response","response","discussion","positive","neutral","negative","audience_count","hearing","media_count","media_threat","audience_threat","criticism.12","praise.12","neutral.12","valence.12","criticism.3","praise.3","neutral.3","valence.3","media_count.3","media_count.12"
"497","EUROFOUND","2017-02-01",24,"yes",2,2,4,1,3,0,598,1,0,"no","no",6,6,7,0,0,2,2,0.5,1,1
"498","FRA","2017-02-01",88,"yes",11,0,11,4,1,6,2453,0,0,"no","no",27,56,32,0.252173913043478,7,13,9,0.206896551724138,1,6
"499","FRONTEX","2017-02-01",21,"yes",14,0,14,4,6,4,1863,0,32,"no","no",50,49,42,-0.00709219858156028,7,6,8,-0.0476190476190476,102,742
"500","SRB","2017-02-01",7,"yes",1,0,1,1,0,0,35,0,0,"no","no",1,4,1,0.5,0,0,1,0,6,16
"501","ACER","2017-03-01",NA,"no",NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"502","BEREC OFFICE","2017-03-01",20,"yes",0,0,0,0,0,0,257,0,0,"no","no",2,9,3,0.5,0,1,0,1,1,5
"503","CEDEFOP","2017-03-01",17,"yes",0,0,0,0,0,0,353,0,0,"no","no",2,17,5,0.625,1,9,2,0.666666666666667,1,1
"504","CPVO","2017-03-01",13,"yes",0,0,0,0,0,0,19,0,0,"no","no",1,3,2,0.333333333333333,0,2,1,0.666666666666667,0,0
"505","EASA","2017-03-01",7,"yes",4,0,4,1,0,3,943,0,8,"no","no",4,24,15,0.465116279069767,0,5,1,0.833333333333333,4,29
"506","EBA","2017-03-01",2,"yes",0,0,0,0,0,0,168,1,12,"no","no",2,2,2,0,0,0,0,0,51,315
"507","ECDC","2017-03-01",15,"yes",3,1,4,2,1,1,785,0,1,"no","no",12,14,29,0.0363636363636364,1,2,1,0.25,4,9
"508","ECHA","2017-03-01",51,"yes",31,6,37,17,6,14,3039,0,4,"no","yes",7,49,20,0.552631578947368,1,7,2,0.6,0,8
"509","EEA","2017-03-01",22,"yes",3,0,3,0,0,3,821,1,3,"no","no",29,36,27,0.0760869565217391,11,6,4,-0.238095238095238,18,49
"510","EFCA","2017-03-01",9,"yes",0,0,0,0,0,0,57,0,0,"no","no",1,0,0,-1,0,0,0,0,0,0
"511","EFSA","2017-03-01",66,"yes",1,1,2,1,1,0,1721,0,6,"no","no",3,48,14,0.692307692307692,1,14,2,0.764705882352941,16,110
"512","EIGE","2017-03-01",39,"yes",1,0,1,1,0,0,489,3,1,"no","no",7,16,11,0.264705882352941,2,1,1,-0.25,0,1
"513","EIOPA","2017-03-01",6,"yes",0,0,0,0,0,0,115,1,0,"no","no",1,0,0,-1,0,0,0,0,1,3
"514","EMA","2017-03-01",16,"yes",6,0,6,3,1,2,1756,0,24,"no","no",6,20,7,0.424242424242424,1,0,2,-0.333333333333333,60,171
"515","EMCDDA","2017-03-01",210,"yes",49,2,51,18,14,19,1794,0,0,"no","no",52,69,43,0.103658536585366,27,31,21,0.0506329113924051,3,25
"516","EMSA","2017-03-01",18,"yes",0,0,0,0,0,0,100,0,0,"no","no",1,2,1,0.25,0,0,0,0,1,2
"517","ENISA","2017-03-01",44,"yes",5,0,5,4,1,0,1420,1,0,"no","no",14,31,11,0.303571428571429,1,4,2,0.428571428571429,0,0
"518","ERA","2017-03-01",4,"yes",0,0,0,0,0,0,249,0,1,"yes","no",0,8,5,0.615384615384615,0,0,0,0,0,0
"519","ESMA","2017-03-01",70,"yes",6,1,7,5,2,0,666,2,1,"no","no",5,5,6,0,2,0,0,-1,7,19
"520","EU-OSHA","2017-03-01",72,"yes",6,0,6,6,0,0,1132,0,1,"yes","no",8,17,4,0.310344827586207,2,5,0,0.428571428571429,0,1
"521","EUIPO","2017-03-01",96,"yes",10,1,11,7,2,2,1072,1,1,"no","no",11,21,18,0.2,3,3,2,0,5,19
"522","EUROFOUND","2017-03-01",22,"yes",1,0,1,0,1,0,421,0,0,"no","no",5,7,8,0.1,0,2,4,0.333333333333333,1,1
"523","FRA","2017-03-01",72,"yes",9,1,10,7,1,2,3005,0,1,"no","no",29,54,30,0.221238938053097,12,11,5,-0.0357142857142857,0,6
"524","FRONTEX","2017-03-01",35,"yes",24,0,24,12,5,7,1781,0,44,"no","no",48,50,46,0.0138888888888889,9,9,13,0,114,659
"525","SRB","2017-03-01",2,"yes",0,0,0,0,0,0,19,1,0,"no","no",0,3,1,0.75,0,1,1,0.5,3,13
"526","ACER","2017-04-01",NA,"no",NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"527","BEREC OFFICE","2017-04-01",4,"yes",0,0,0,0,0,0,107,0,2,"yes","no",2,8,3,0.461538461538462,0,1,0,1,1,5
"528","CEDEFOP","2017-04-01",8,"yes",0,0,0,0,0,0,443,0,0,"no","no",2,17,5,0.625,0,4,0,1,0,1
"529","CPVO","2017-04-01",6,"yes",0,0,0,0,0,0,14,0,0,"no","no",1,3,2,0.333333333333333,0,1,0,1,0,0
"530","EASA","2017-04-01",8,"yes",1,0,1,0,1,0,564,0,3,"no","no",7,21,15,0.325581395348837,3,3,1,0,10,32
"531","EBA","2017-04-01",5,"yes",0,0,0,0,0,0,173,1,26,"yes","no",2,2,2,0,0,0,0,0,45,320
"532","ECDC","2017-04-01",9,"yes",2,0,2,2,0,0,710,1,0,"no","no",13,16,29,0.0517241379310345,2,3,2,0.142857142857143,4,10
"533","ECHA","2017-04-01",67,"yes",3,0,3,0,2,1,950,0,0,"no","no",20,59,22,0.386138613861386,14,21,8,0.162790697674419,4,12
"534","EEA","2017-04-01",14,"yes",7,0,7,5,1,1,1048,0,5,"no","no",32,34,27,0.021505376344086,9,4,4,-0.294117647058824,17,50
"535","EFCA","2017-04-01",10,"yes",0,0,0,0,0,0,71,0,0,"no","no",1,0,0,-1,0,0,0,0,0,0
"536","EFSA","2017-04-01",28,"yes",6,0,6,2,3,1,1206,0,9,"no","no",3,47,14,0.6875,1,12,3,0.6875,20,93
"537","EIGE","2017-04-01",21,"yes",2,0,2,1,1,0,299,0,0,"no","no",7,15,10,0.25,2,2,1,0,1,2
"538","EIOPA","2017-04-01",5,"yes",0,0,0,0,0,0,150,0,0,"no","no",1,0,0,-1,0,0,0,0,1,3
"539","EMA","2017-04-01",21,"yes",2,1,3,1,2,0,2042,1,28,"no","no",8,23,8,0.384615384615385,3,3,2,0,76,191
"540","EMCDDA","2017-04-01",174,"yes",30,1,31,11,10,10,1747,0,0,"no","no",70,84,56,0.0666666666666667,34,38,31,0.0388349514563107,0,23
"541","EMSA","2017-04-01",7,"yes",0,0,0,0,0,0,86,0,0,"no","no",0,2,1,0.666666666666667,0,0,0,0,1,2
"542","ENISA","2017-04-01",20,"yes",1,0,1,0,1,0,643,0,0,"no","no",13,31,12,0.321428571428571,1,8,3,0.583333333333333,0,0
"543","ERA","2017-04-01",26,"yes",1,0,1,1,0,0,119,0,0,"no","no",0,8,5,0.615384615384615,0,0,0,0,1,1
"544","ESMA","2017-04-01",40,"yes",4,0,4,3,1,0,684,0,3,"no","no",5,10,8,0.217391304347826,1,5,2,0.5,5,19
"545","EU-OSHA","2017-04-01",52,"yes",0,0,0,0,0,0,852,0,1,"yes","no",6,20,4,0.466666666666667,1,9,0,0.8,1,2
"546","EUIPO","2017-04-01",70,"yes",2,0,2,0,1,1,572,0,0,"no","no",13,26,16,0.236363636363636,4,8,3,0.266666666666667,5,19
"547","EUROFOUND","2017-04-01",14,"yes",1,0,1,0,0,1,290,0,0,"no","no",4,7,7,0.166666666666667,0,1,4,0.2,0,1
"548","FRA","2017-04-01",62,"yes",7,0,7,3,1,3,2307,0,0,"no","no",28,60,29,0.273504273504274,10,15,5,0.166666666666667,1,7
"549","FRONTEX","2017-04-01",25,"yes",23,0,23,7,4,12,3544,0,58,"no","no",49,53,43,0.0275862068965517,15,20,16,0.0980392156862745,123,601
"550","SRB","2017-04-01",2,"yes",0,0,0,0,0,0,12,1,2,"no","no",0,3,1,0.75,0,1,1,0.5,0,12
"551","ACER","2017-05-01",NA,"no",NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"552","BEREC OFFICE","2017-05-01",4,"yes",1,0,1,0,0,1,131,0,0,"no","no",2,7,3,0.416666666666667,0,1,0,1,2,7
"553","CEDEFOP","2017-05-01",64,"yes",2,0,2,0,1,1,1094,0,0,"no","no",2,16,5,0.608695652173913,0,3,0,1,0,1
"554","CPVO","2017-05-01",12,"yes",0,0,0,0,0,0,29,0,0,"no","no",1,3,2,0.333333333333333,0,1,0,1,0,0
"555","EASA","2017-05-01",7,"yes",2,0,2,1,0,1,607,0,4,"no","no",7,20,15,0.30952380952381,3,1,2,-0.333333333333333,11,30
"556","EBA","2017-05-01",1,"yes",0,0,0,0,0,0,154,0,14,"no","no",2,2,2,0,0,0,0,0,58,345
"557","ECDC","2017-05-01",26,"yes",3,1,4,1,2,1,965,0,0,"no","no",13,18,29,0.0833333333333333,1,5,2,0.5,3,9
"558","ECHA","2017-05-01",68,"yes",5,2,7,3,3,1,952,0,1,"no","no",19,52,23,0.351063829787234,15,21,9,0.133333333333333,4,9
"559","EEA","2017-05-01",15,"yes",2,0,2,2,0,0,738,0,5,"no","no",28,36,26,0.0888888888888889,8,6,2,-0.125,15,54
"560","EFCA","2017-05-01",14,"yes",0,0,0,0,0,0,116,0,0,"no","no",1,0,0,-1,0,0,0,0,0,0
"561","EFSA","2017-05-01",92,"yes",10,1,11,5,4,2,1710,1,14,"no","no",4,47,16,0.641791044776119,1,8,5,0.5,22,88
"562","EIGE","2017-05-01",28,"yes",3,0,3,1,0,2,278,0,1,"no","no",6,14,10,0.266666666666667,2,2,2,0,1,2
"563","EIOPA","2017-05-01",7,"yes",0,0,0,0,0,0,115,0,2,"yes","no",1,0,0,-1,0,0,0,0,1,3
"564","EMA","2017-05-01",41,"yes",5,0,5,1,1,3,2329,0,13,"no","no",8,24,10,0.380952380952381,3,4,4,0.0909090909090909,85,215
"565","EMCDDA","2017-05-01",92,"yes",18,0,18,9,8,1,1040,0,0,"no","no",76,89,64,0.0567685589519651,37,38,35,0.00909090909090909,0,19
"566","EMSA","2017-05-01",12,"yes",1,0,1,0,1,0,209,0,0,"no","no",0,1,1,0.5,0,0,0,0,0,1
"567","ENISA","2017-05-01",35,"yes",11,1,12,4,4,4,1397,0,1,"yes","no",13,28,13,0.277777777777778,1,7,2,0.6,0,0
"568","ERA","2017-05-01",34,"yes",1,2,3,1,1,1,165,0,0,"no","no",0,9,5,0.642857142857143,0,1,0,1,1,1
"569","ESMA","2017-05-01",43,"yes",4,0,4,2,1,1,610,0,2,"no","no",5,12,9,0.269230769230769,0,8,3,0.727272727272727,6,21
"570","EU-OSHA","2017-05-01",69,"yes",3,0,3,2,1,0,893,0,0,"no","no",5,17,4,0.461538461538462,0,8,0,1,2,3
"571","EUIPO","2017-05-01",118,"yes",7,1,8,6,1,1,946,0,0,"no","no",14,23,16,0.169811320754717,4,7,3,0.214285714285714,3,15
"572","EUROFOUND","2017-05-01",37,"yes",2,0,2,0,0,2,423,0,0,"no","no",5,6,7,0.0555555555555556,1,1,4,0,0,1
"573","FRA","2017-05-01",74,"yes",22,0,22,7,6,9,1995,1,2,"no","no",31,57,27,0.226086956521739,11,14,3,0.107142857142857,1,6
"574","FRONTEX","2017-05-01",29,"yes",17,0,17,3,4,10,3464,1,52,"no","no",55,53,43,-0.0132450331125828,23,23,15,0,134,511
"575","SRB","2017-05-01",1,"yes",0,0,0,0,0,0,7,0,2,"no","no",0,2,1,0.666666666666667,0,1,0,1,2,13
"576","ACER","2017-06-01",NA,"no",NA,NA,NA,NA,NA,NA,NA,0,1,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"577","BEREC OFFICE","2017-06-01",26,"yes",0,0,0,0,0,0,293,0,2,"yes","no",3,7,3,0.307692307692308,1,0,0,-1,2,7
"578","CEDEFOP","2017-06-01",72,"yes",1,1,2,2,0,0,1052,0,0,"no","no",3,16,6,0.52,1,0,1,-0.5,0,1
"579","CPVO","2017-06-01",8,"yes",1,0,1,1,0,0,25,0,0,"no","no",1,3,2,0.333333333333333,0,0,0,0,0,0
"580","EASA","2017-06-01",46,"yes",4,0,4,4,0,0,602,0,6,"no","no",8,18,13,0.256410256410256,4,2,1,-0.285714285714286,15,33
"581","EBA","2017-06-01",59,"yes",3,0,3,2,0,1,416,0,35,"yes","no",2,2,1,0,0,0,0,0,52,351
"582","ECDC","2017-06-01",10,"yes",0,0,0,0,0,0,705,0,0,"no","no",14,19,29,0.0806451612903226,2,5,3,0.3,1,8
"583","ECHA","2017-06-01",67,"yes",8,1,9,6,2,1,1259,0,7,"yes","no",20,48,25,0.301075268817204,16,20,11,0.0851063829787234,5,9
"584","EEA","2017-06-01",28,"yes",6,1,7,4,1,2,1508,0,4,"no","no",27,33,23,0.072289156626506,4,7,1,0.25,13,57
"585","EFCA","2017-06-01",10,"yes",1,0,1,1,0,0,115,0,0,"no","no",1,0,0,-1,0,0,0,0,0,0
"586","EFSA","2017-06-01",79,"yes",5,0,5,4,0,1,1658,0,11,"no","no",6,49,19,0.581081081081081,3,8,8,0.263157894736842,29,86
"587","EIGE","2017-06-01",33,"yes",3,0,3,3,0,0,254,0,1,"no","no",8,14,6,0.214285714285714,2,3,1,0.166666666666667,2,3
"588","EIOPA","2017-06-01",19,"yes",1,0,1,1,0,0,257,0,1,"no","yes",1,0,0,-1,0,0,0,0,2,4
"589","EMA","2017-06-01",25,"yes",1,0,1,1,0,0,2064,0,26,"no","no",11,25,11,0.297872340425532,5,5,4,0,65,217
"590","EMCDDA","2017-06-01",100,"yes",17,1,18,6,5,7,1911,0,11,"yes","no",73,92,68,0.0815450643776824,30,38,32,0.08,0,14
"591","EMSA","2017-06-01",15,"yes",1,0,1,1,0,0,193,0,0,"no","no",0,0,2,0,0,0,1,0,0,1
"592","ENISA","2017-06-01",36,"yes",5,0,5,4,0,1,1178,0,0,"no","no",16,30,16,0.225806451612903,4,8,6,0.222222222222222,1,1
"593","ERA","2017-06-01",34,"yes",6,1,7,5,0,2,258,0,0,"no","no",1,8,6,0.466666666666667,1,2,1,0.25,1,1
"594","ESMA","2017-06-01",33,"yes",3,0,3,2,0,1,833,0,10,"yes","no",6,13,10,0.241379310344828,1,10,4,0.6,6,21
"595","EU-OSHA","2017-06-01",38,"yes",4,0,4,4,0,0,755,0,0,"no","no",5,19,5,0.482758620689655,0,8,1,0.888888888888889,2,3
"596","EUIPO","2017-06-01",118,"yes",12,0,12,8,4,0,1276,0,2,"no","no",12,26,13,0.274509803921569,4,13,4,0.428571428571429,1,15
"597","EUROFOUND","2017-06-01",27,"yes",0,0,0,0,0,0,607,0,0,"no","no",7,6,7,-0.05,3,0,1,-0.75,0,1
"598","FRA","2017-06-01",86,"yes",19,0,19,8,4,7,2690,0,2,"no","no",38,57,32,0.149606299212598,14,17,8,0.0769230769230769,3,8
"599","FRONTEX","2017-06-01",21,"yes",37,0,37,12,10,15,1663,0,44,"no","no",60,56,43,-0.0251572327044025,29,22,13,-0.109375,154,512
"600","SRB","2017-06-01",2,"yes",0,0,0,0,0,0,631,0,57,"yes","yes",0,2,1,0.666666666666667,0,0,0,0,4,15
"601","ACER","2017-07-01",NA,"no",NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
"602","BEREC OFFICE","2017-07-01",3,"yes",0,0,0,0,0,0,114,0,1,"yes","no",3,7,0,0.4,1,0,0,-1,4,8
"603","CEDEFOP","2017-07-01",17,"yes",1,0,1,1,0,0,373,0,0,"no","no",3,17,5,0.56,1,2,1,0.25,0,1
"604","CPVO","2017-07-01",1,"yes",0,0,0,0,0,0,5,0,1,"yes","no",0,4,2,0.666666666666667,0,1,0,1,0,0
"605","EASA","2017-07-01",8,"yes",1,0,1,1,0,0,547,0,4,"no","no",8,18,12,0.263157894736842,1,5,1,0.571428571428571,13,35
"606","EBA","2017-07-01",19,"yes",2,0,2,0,1,1,303,0,16,"no","no",3,4,1,0.125,1,2,0,0.333333333333333,75,359
"607","ECDC","2017-07-01",24,"yes",4,1,5,1,3,1,844,0,1,"no","no",11,17,29,0.105263157894737,1,3,2,0.333333333333333,0,7
"608","ECHA","2017-07-01",47,"yes",7,4,11,7,4,0,843,0,2,"no","no",21,52,25,0.316326530612245,3,9,7,0.315789473684211,8,14
"609","EEA","2017-07-01",17,"yes",7,0,7,5,2,0,1286,0,5,"no","no",26,30,19,0.0533333333333333,3,11,2,0.5,14,54
"610","EFCA","2017-07-01",2,"yes",0,0,0,0,0,0,10,0,0,"no","no",1,1,0,0,0,1,0,1,0,0
"611","EFSA","2017-07-01",68,"yes",6,0,6,1,3,2,1827,0,15,"no","no",7,47,16,0.571428571428571,4,11,7,0.318181818181818,34,87
"612","EIGE","2017-07-01",30,"yes",5,2,7,3,1,3,334,0,0,"no","no",8,16,6,0.266666666666667,2,5,1,0.375,2,4
"613","EIOPA","2017-07-01",9,"yes",0,0,0,0,0,0,130,0,1,"no","no",1,1,0,0,0,1,0,1,3,4
"614","EMA","2017-07-01",26,"yes",8,0,8,4,2,2,2287,0,33,"no","no",10,23,11,0.295454545454545,3,3,3,0,67,230
"615","EMCDDA","2017-07-01",89,"yes",13,0,13,9,3,1,1421,0,1,"no","no",80,95,71,0.0609756097560976,18,26,23,0.119402985074627,11,19
"616","EMSA","2017-07-01",4,"yes",0,0,0,0,0,0,55,0,0,"no","no",0,1,2,0.333333333333333,0,1,1,0.5,0,1
"617","ENISA","2017-07-01",12,"yes",1,0,1,1,0,0,685,0,0,"no","no",15,33,15,0.285714285714286,5,8,5,0.166666666666667,1,1
"618","ERA","2017-07-01",10,"yes",0,0,0,0,0,0,103,0,0,"no","no",3,13,3,0.526315789473684,3,7,1,0.363636363636364,0,1
"619","ESMA","2017-07-01",33,"yes",29,0,29,13,0,16,682,0,11,"yes","no",6,14,8,0.285714285714286,2,7,2,0.454545454545455,15,28
"620","EU-OSHA","2017-07-01",31,"yes",5,0,5,3,2,0,785,0,0,"no","no",4,22,4,0.6,0,6,1,0.857142857142857,1,3
"621","EUIPO","2017-07-01",74,"yes",4,0,4,4,0,0,1035,0,3,"no","no",11,28,17,0.303571428571429,2,14,6,0.545454545454545,2,17
"622","EUROFOUND","2017-07-01",7,"yes",0,0,0,0,0,0,262,0,0,"no","no",5,6,7,0.0555555555555556,3,0,0,-1,0,1
"623","FRA","2017-07-01",28,"yes",16,0,16,9,2,5,1566,0,0,"no","no",41,49,28,0.0677966101694915,19,18,11,-0.0208333333333333,4,8
"624","FRONTEX","2017-07-01",29,"yes",39,0,39,12,7,20,1432,1,115,"yes","no",73,66,53,-0.0364583333333333,37,22,18,-0.194805194805195,154,500
"625","SRB","2017-07-01",4,"yes",6,0,6,5,1,0,730,0,29,"yes","yes",0,2,1,0.666666666666667,0,0,0,0,61,71
"626","ACER","2017-08-01",6,"yes",1,0,1,1,0,0,30,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,1,2
"627","BEREC OFFICE","2017-08-01",1,"yes",0,0,0,0,0,0,32,0,0,"no","no",3,7,0,0.4,1,0,0,-1,3,9
"628","CEDEFOP","2017-08-01",7,"yes",0,0,0,0,0,0,325,0,0,"no","no",3,17,5,0.56,1,3,1,0.4,0,1
"629","CPVO","2017-08-01",5,"yes",0,0,0,0,0,0,16,0,0,"no","no",0,3,1,0.75,0,1,0,1,1,1
"630","EASA","2017-08-01",2,"yes",1,0,1,1,0,0,451,0,6,"no","no",8,18,12,0.263157894736842,1,6,0,0.714285714285714,14,36
"631","EBA","2017-08-01",4,"yes",0,0,0,0,0,0,476,0,31,"yes","yes",2,3,2,0.142857142857143,2,2,1,0,65,272
"632","ECDC","2017-08-01",12,"yes",0,0,0,0,0,0,545,0,1,"no","no",12,17,32,0.0819672131147541,2,2,5,0,1,8
"633","ECHA","2017-08-01",54,"yes",4,0,4,2,0,2,672,0,0,"no","no",21,56,27,0.336538461538462,2,16,9,0.518518518518518,10,16
"634","EEA","2017-08-01",7,"yes",1,1,2,1,0,1,553,0,4,"no","no",23,31,15,0.115942028985507,2,11,3,0.5625,14,57
"635","EFCA","2017-08-01",4,"yes",0,0,0,0,0,0,23,0,0,"no","no",0,1,0,1,0,1,0,1,0,0
"636","EFSA","2017-08-01",68,"yes",5,1,6,4,1,1,1105,0,5,"no","no",9,46,19,0.5,5,10,7,0.227272727272727,40,95
"637","EIGE","2017-08-01",27,"yes",6,3,9,5,0,4,280,0,0,"no","no",10,19,7,0.25,5,7,1,0.153846153846154,2,4
"638","EIOPA","2017-08-01",7,"yes",0,0,0,0,0,0,43,0,1,"yes","no",0,1,0,1,0,1,0,1,4,5
"639","EMA","2017-08-01",26,"yes",4,1,5,2,3,0,2575,0,34,"no","no",11,24,12,0.276595744680851,5,6,3,0.0714285714285714,72,237
"640","EMCDDA","2017-08-01",62,"yes",5,0,5,2,1,2,1020,0,0,"no","no",81,103,72,0.0859375,9,24,16,0.306122448979592,12,20
"641","EMSA","2017-08-01",10,"yes",0,0,0,0,0,0,72,0,0,"no","no",0,1,2,0.333333333333333,0,1,1,0.5,0,1
"642","ENISA","2017-08-01",19,"yes",3,0,3,2,0,1,866,0,0,"no","no",14,32,15,0.295081967213115,5,9,4,0.222222222222222,1,1
"643","ERA","2017-08-01",19,"yes",1,0,1,1,0,0,35,0,0,"no","no",3,11,1,0.533333333333333,3,6,1,0.3,0,1
"644","ESMA","2017-08-01",11,"yes",14,0,14,0,3,11,226,0,4,"yes","no",22,27,8,0.087719298245614,18,17,1,-0.0277777777777778,23,37
"645","EU-OSHA","2017-08-01",38,"yes",4,0,4,3,1,0,599,0,0,"no","no",4,25,6,0.6,0,9,3,0.75,0,3
"646","EUIPO","2017-08-01",74,"yes",2,0,2,2,0,0,899,0,0,"no","no",8,31,15,0.425925925925926,1,18,5,0.708333333333333,5,20
"647","EUROFOUND","2017-08-01",8,"yes",2,0,2,2,0,0,298,0,0,"no","no",5,6,7,0.0555555555555556,2,0,0,-1,0,1
"648","FRA","2017-08-01",31,"yes",7,0,7,1,2,4,1162,0,0,"no","no",45,56,29,0.0846153846153846,21,24,12,0.0526315789473684,4,8
"649","FRONTEX","2017-08-01",27,"yes",28,0,28,10,5,13,1612,0,47,"no","no",88,73,57,-0.0688073394495413,45,27,21,-0.193548387096774,211,581
"650","SRB","2017-08-01",5,"yes",1,0,1,1,0,0,294,0,13,"yes","no",0,6,2,0.75,0,5,1,0.833333333333333,88,99
"651","ACER","2017-09-01",0,"yes",0,0,0,0,0,0,38,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,1,2
"652","BEREC OFFICE","2017-09-01",4,"yes",2,0,2,1,0,1,106,0,0,"no","no",3,5,0,0.25,0,0,0,0,3,9
"653","CEDEFOP","2017-09-01",113,"yes",6,1,7,5,2,0,831,0,0,"no","no",3,17,5,0.56,0,3,0,1,0,1
"654","CPVO","2017-09-01",13,"yes",1,0,1,0,1,0,61,0,0,"no","no",0,3,1,0.75,0,1,0,1,1,1
"655","EASA","2017-09-01",2,"yes",0,0,0,0,0,0,303,0,0,"no","no",8,19,12,0.282051282051282,0,6,0,1,16,42
"656","EBA","2017-09-01",12,"yes",5,0,5,0,0,5,226,0,17,"no","no",2,2,2,0,2,2,1,0,82,238
"657","ECDC","2017-09-01",8,"yes",2,2,4,0,4,0,721,0,6,"no","no",8,14,20,0.142857142857143,1,1,3,0,2,9
"658","ECHA","2017-09-01",69,"yes",4,0,4,3,0,1,1014,0,4,"yes","no",23,55,26,0.307692307692308,3,15,6,0.5,9,15
"659","EEA","2017-09-01",14,"yes",4,0,4,4,0,0,686,0,1,"no","no",22,29,12,0.111111111111111,3,10,3,0.4375,13,59
"660","EFCA","2017-09-01",7,"yes",1,0,1,0,1,0,163,0,0,"no","yes",0,1,0,1,0,1,0,1,0,0
"661","EFSA","2017-09-01",32,"yes",8,0,8,5,3,0,1608,0,11,"no","no",10,47,16,0.506849315068493,4,9,4,0.294117647058824,31,93
"662","EIGE","2017-09-01",31,"yes",3,4,7,1,2,4,324,0,1,"no","no",13,22,6,0.219512195121951,7,11,1,0.210526315789474,1,3
"663","EIOPA","2017-09-01",6,"yes",4,0,4,1,1,2,101,0,1,"no","no",0,1,0,1,0,1,0,1,3,6
"664","EMA","2017-09-01",28,"yes",12,0,12,3,3,6,2478,0,48,"yes","no",10,25,14,0.306122448979592,2,7,5,0.357142857142857,93,264
"665","EMCDDA","2017-09-01",26,"yes",8,1,9,5,1,3,650,1,3,"no","no",83,103,73,0.0772200772200772,10,17,9,0.194444444444444,12,19
"666","EMSA","2017-09-01",12,"yes",0,0,0,0,0,0,164,0,0,"no","no",0,1,1,0.5,0,1,0,1,0,1
"667","ENISA","2017-09-01",49,"yes",8,0,8,2,3,3,1952,0,2,"yes","no",12,34,14,0.366666666666667,2,7,0,0.555555555555556,0,1
"668","ERA","2017-09-01",3,"yes",1,0,1,1,0,0,32,0,0,"no","no",3,12,1,0.5625,2,6,0,0.5,0,1
"669","ESMA","2017-09-01",42,"yes",70,0,70,1,11,58,731,0,2,"no","no",33,27,11,-0.0845070422535211,28,15,3,-0.282608695652174,25,41
"670","EU-OSHA","2017-09-01",155,"yes",5,0,5,3,1,1,1434,0,0,"no","yes",4,28,7,0.615384615384615,0,10,3,0.769230769230769,0,3
"671","EUIPO","2017-09-01",90,"yes",6,1,7,4,2,1,1067,0,4,"no","no",8,33,15,0.446428571428571,0,14,4,0.777777777777778,5,19
"672","EUROFOUND","2017-09-01",40,"yes",7,0,7,5,1,1,548,0,1,"yes","no",4,7,7,0.166666666666667,0,2,0,1,0,1
"673","FRA","2017-09-01",52,"yes",41,0,41,12,9,20,4233,0,2,"no","no",48,57,29,0.0671641791044776,16,18,8,0.0476190476190476,2,8
"674","FRONTEX","2017-09-01",35,"yes",13,0,13,6,2,5,1067,0,40,"no","no",95,75,59,-0.0873362445414847,48,34,22,-0.134615384615385,206,588
"675","SRB","2017-09-01",15,"yes",7,0,7,2,1,4,219,0,19,"yes","no",0,7,2,0.777777777777778,0,6,1,0.857142857142857,99,112
"676","ACER","2017-10-01",25,"yes",1,0,1,1,0,0,139,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,0,2
"677","BEREC OFFICE","2017-10-01",58,"yes",2,1,3,0,1,2,469,0,0,"no","no",2,6,0,0.5,1,1,0,0,1,6
"678","CEDEFOP","2017-10-01",8,"yes",0,0,0,0,0,0,640,0,1,"yes","no",2,21,6,0.655172413793103,0,6,2,0.75,0,1
"679","CPVO","2017-10-01",13,"yes",0,0,0,0,0,0,45,0,1,"yes","no",0,3,2,0.6,0,0,1,0,1,1
"680","EASA","2017-10-01",2,"yes",1,0,1,1,0,0,383,0,4,"no","no",7,19,5,0.387096774193548,0,2,0,1,10,39
"681","EBA","2017-10-01",9,"yes",1,0,1,1,0,0,200,0,30,"no","no",7,2,1,-0.5,6,0,1,-0.857142857142857,64,233
"682","ECDC","2017-10-01",10,"yes",4,1,5,2,3,0,1185,0,0,"no","no",6,12,15,0.181818181818182,1,1,7,0,8,15
"683","ECHA","2017-10-01",67,"yes",8,2,10,7,2,1,1813,1,6,"yes","yes",24,53,26,0.281553398058252,3,12,4,0.473684210526316,6,18
"684","EEA","2017-10-01",26,"yes",7,0,7,4,3,0,2198,0,8,"no","no",21,31,11,0.158730158730159,1,10,2,0.692307692307692,10,57
"685","EFCA","2017-10-01",15,"yes",0,0,0,0,0,0,54,0,0,"no","no",0,1,1,0.5,0,0,1,0,0,0
