"","agencyname","month","information","joined","no.response","response","discussion","positive","neutral","negative","audience_count","hearing","media_count","media_threat","audience_threat","criticism.12","praise.12","neutral.12","valence.12","criticism.3","praise.3","neutral.3","valence.3","media_count.3","media_count.12"
"42","ENISA","2015-08-01",19,"yes",3,0,3,2,1,0,633,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","ERA","2015-08-01",3,"yes",0,1,1,1,0,0,19,0,1,"yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","ESMA","2015-08-01",14,"yes",1,0,1,0,0,1,263,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","EU-OSHA","2015-08-01",53,"yes",3,0,3,3,0,0,876,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","EUIPO","2015-08-01",15,"yes",0,0,0,0,0,0,0,0,1,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","EUROFOUND","2015-08-01",4,"yes",4,0,4,1,2,1,148,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","FRA","2015-08-01",25,"yes",6,1,7,4,1,2,704,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","FRONTEX","2015-08-01",25,"yes",23,0,23,9,5,9,15,0,136,"yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","SRB","2015-08-01",2,"yes",0,0,0,0,0,0,1,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","ACER","2015-09-01",NA,"no",NA,NA,NA,NA,NA,NA,NA,0,1,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","BEREC OFFICE","2015-09-01",40,"yes",1,0,1,0,1,0,98,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","CEDEFOP","2015-09-01",59,"yes",2,0,2,1,1,0,363,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","CPVO","2015-09-01",14,"yes",0,0,0,0,0,0,19,0,0,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","EASA","2015-09-01",9,"yes",4,0,4,2,1,1,407,0,4,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
